t,x,y,vx,vy,ax,ay
3.590100,-0.974070,-0.922047,1.236367,0.018789,0.005423,-0.251970
3.639963,-0.912419,-0.921427,1.236381,0.006014,-0.004667,-0.259766
3.689825,-0.850780,-0.921452,1.235921,-0.007045,-0.013599,-0.263284
3.739688,-0.789174,-0.922130,1.235047,-0.020166,-0.021228,-0.262189
3.789550,-0.727620,-0.923460,1.233828,-0.033110,-0.027410,-0.256150
3.839413,-0.666135,-0.925425,1.232340,-0.045623,-0.032000,-0.244831
3.889275,-0.604728,-0.927998,1.230666,-0.057432,-0.034853,-0.227901
3.939138,-0.543408,-0.931136,1.228895,-0.068251,-0.035826,-0.205025
3.989000,-0.482177,-0.934783,1.227127,-0.077774,-0.034774,-0.175873
4.038863,-0.421031,-0.938865,1.225461,-0.085687,-0.031723,-0.140577
4.088725,-0.359964,-0.943297,1.223990,-0.091709,-0.027049,-0.100229
4.138588,-0.298964,-0.947976,1.222784,-0.095619,-0.021173,-0.056041
4.188450,-0.238017,-0.952794,1.221892,-0.097254,-0.014514,-0.009225
4.238313,-0.177106,-0.957635,1.221342,-0.096515,-0.007494,0.039006
4.288175,-0.116213,-0.962379,1.221143,-0.093361,-0.000531,0.087439
4.338038,-0.055321,-0.966906,1.221281,-0.087812,0.005952,0.134863
4.387900,0.005585,-0.971098,1.221722,-0.079949,0.011536,0.180065
4.437763,0.066519,-0.974842,1.222410,-0.069912,0.015801,0.221833
4.487625,0.127492,-0.978037,1.223269,-0.057903,0.018330,0.258967
4.537488,0.188511,-0.980588,1.224205,-0.044175,0.018903,0.290823
4.587350,0.249576,-0.982418,1.225122,-0.028987,0.017564,0.317521
4.637213,0.310684,-0.983459,1.225926,-0.012593,0.014376,0.339233
4.687075,0.371828,-0.983658,1.226526,0.004763,0.009404,0.356134
4.736938,0.432995,-0.982972,1.226835,0.022846,0.002711,0.368398
4.786800,0.494168,-0.981371,1.226769,0.041427,-0.005638,0.376199
4.836663,0.555327,-0.978836,1.226246,0.060291,-0.015579,0.379710
4.886525,0.616446,-0.975357,1.225190,0.079226,-0.027048,0.379106
4.936388,0.677499,-0.970937,1.223525,0.098031,-0.039982,0.374560
4.986250,0.738451,-0.965587,1.221179,0.116516,-0.054310,0.366251
5.036113,0.799268,-0.959326,1.218089,0.134498,-0.069812,0.354452
5.085975,0.859912,-0.952185,1.214204,0.151812,-0.086119,0.339532
